|                  passKey                  |        option         |
| pass_store_merging                        | -fgcse                |
| pass_store_merging                        | -fgcse-las            |
| pass_store_merging                        | -fgcse-lm             |
| pass_store_merging                        | -finline-functions    |
| pass_store_merging                        | -ftree-loop-vectorize |
| pass_phiopt                               | -fgcse                |
| pass_phiopt                               | -fgcse-las            |
| pass_phiopt                               | -fgcse-lm             |
| pass_phiopt                               | -finline-functions    |
| pass_phiopt                               | -ftree-loop-vectorize |
| pass_forwprop                             | -fgcse                |
| pass_forwprop                             | -fgcse-las            |
| pass_forwprop                             | -fgcse-lm             |
| pass_forwprop                             | -finline-functions    |
| pass_forwprop                             | -ftree-loop-vectorize |
| pass_cd_dce                               | -fgcse                |
| pass_cd_dce                               | -fgcse-las            |
| pass_cd_dce                               | -fgcse-lm             |
| pass_cd_dce                               | -finline-functions    |
| pass_cd_dce                               | -ftree-loop-vectorize |
| pass_dse                                  | -fgcse                |
| pass_dse                                  | -fgcse-las            |
| pass_dse                                  | -fgcse-lm             |
| pass_dse                                  | -finline-functions    |
| pass_dse                                  | -ftree-loop-vectorize |
| pass_vrp                                  | -fgcse                |
| pass_vrp                                  | -fgcse-las            |
| pass_vrp                                  | -fgcse-lm             |
| pass_vrp                                  | -finline-functions    |
| pass_vrp                                  | -ftree-loop-vectorize |
| pass_thread_jumps                         | -fgcse                |
| pass_thread_jumps                         | -fgcse-las            |
| pass_thread_jumps                         | -fgcse-lm             |
| pass_thread_jumps                         | -finline-functions    |
| pass_thread_jumps                         | -ftree-loop-vectorize |
| pass_dominator                            | -fgcse                |
| pass_dominator                            | -fgcse-las            |
| pass_dominator                            | -fgcse-lm             |
| pass_dominator                            | -finline-functions    |
| pass_dominator                            | -ftree-loop-vectorize |
| pass_strength_reduction                   | -fgcse                |
| pass_strength_reduction                   | -fgcse-las            |
| pass_strength_reduction                   | -fgcse-lm             |
| pass_strength_reduction                   | -finline-functions    |
| pass_strength_reduction                   | -ftree-loop-vectorize |
| pass_reassoc                              | -fgcse                |
| pass_reassoc                              | -fgcse-las            |
| pass_reassoc                              | -fgcse-lm             |
| pass_reassoc                              | -finline-functions    |
| pass_reassoc                              | -ftree-loop-vectorize |
| pass_cse_reciprocals                      | -fgcse                |
| pass_cse_reciprocals                      | -fgcse-las            |
| pass_cse_reciprocals                      | -fgcse-lm             |
| pass_cse_reciprocals                      | -finline-functions    |
| pass_cse_reciprocals                      | -ftree-loop-vectorize |
| pass_slp_vectorize                        | -fgcse                |
| pass_slp_vectorize                        | -fgcse-las            |
| pass_slp_vectorize                        | -fgcse-lm             |
| pass_slp_vectorize                        | -finline-functions    |
| pass_slp_vectorize                        | -ftree-loop-vectorize |
| pass_lim                                  | -fgcse                |
| pass_lim                                  | -fgcse-las            |
| pass_lim                                  | -fgcse-lm             |
| pass_lim                                  | -finline-functions    |
| pass_lim                                  | -ftree-loop-vectorize |
| pass_iv_optimize                          | -fgcse                |
| pass_iv_optimize                          | -fgcse-las            |
| pass_iv_optimize                          | -fgcse-lm             |
| pass_iv_optimize                          | -finline-functions    |
| pass_iv_optimize                          | -ftree-loop-vectorize |
| pass_loop_prefetch                        | -fgcse                |
| pass_loop_prefetch                        | -fgcse-las            |
| pass_loop_prefetch                        | -fgcse-lm             |
| pass_loop_prefetch                        | -finline-functions    |
| pass_loop_prefetch                        | -ftree-loop-vectorize |
| pass_complete_unroll                      | -fgcse                |
| pass_complete_unroll                      | -fgcse-las            |
| pass_complete_unroll                      | -fgcse-lm             |
| pass_complete_unroll                      | -finline-functions    |
| pass_complete_unroll                      | -ftree-loop-vectorize |
| pass_predcom                              | -fgcse                |
| pass_predcom                              | -fgcse-las            |
