"-ftrapv","flag_trapv","x_flag_trapv"
"-ftree-bit-ccp","flag_tree_bit_ccp","x_flag_tree_bit_ccp"
"-ftree-builtin-call-dce","flag_tree_builtin_call_dce","x_flag_tree_builtin_call_dce"
"-ftree-ccp","flag_tree_ccp","x_flag_tree_ccp"
"-ftree-ch","flag_tree_ch","x_flag_tree_ch"
"-ftree-coalesce-vars","flag_tree_coalesce_vars","x_flag_tree_coalesce_vars"
"-ftree-copy-prop","flag_tree_copy_prop","x_flag_tree_copy_prop"
"-ftree-cselim","flag_tree_cselim","x_flag_tree_cselim"
"-ftree-dce","flag_tree_dce","x_flag_tree_dce"
"-ftree-dse","flag_tree_dse","x_flag_tree_dse"
"-ftree-forwprop","flag_tree_forwprop","x_flag_tree_forwprop"
"-ftree-fre","flag_tree_fre","x_flag_tree_fre"
"-ftree-loop-distribute-patterns","flag_tree_loop_distribute_patterns","x_flag_tree_loop_distribute_patterns"
"-ftree-loop-distribution","flag_tree_loop_distribution","x_flag_tree_loop_distribution"
"-ftree-loop-if-convert","flag_tree_loop_if_convert","x_flag_tree_loop_if_convert"
"-ftree-loop-im","flag_tree_loop_im","x_flag_tree_loop_im"
"-ftree-loop-ivcanon","flag_tree_loop_ivcanon","x_flag_tree_loop_ivcanon"
"-ftree-loop-optimize","flag_tree_loop_optimize","x_flag_tree_loop_optimize"
"-ftree-loop-vectorize","flag_tree_loop_vectorize","x_flag_tree_loop_vectorize"
"-ftree-partial-pre","flag_tree_partial_pre","x_flag_tree_partial_pre"
"-ftree-phiprop","flag_tree_phiprop","x_flag_tree_phiprop"
"-ftree-pre","flag_tree_pre","x_flag_tree_pre"
"-ftree-pta","flag_tree_pta","x_flag_tree_pta"
"-ftree-reassoc","flag_tree_reassoc","x_flag_tree_reassoc"
"-ftree-scev-cprop","flag_tree_scev_cprop","x_flag_tree_scev_cprop"
"-ftree-sink","flag_tree_sink","x_flag_tree_sink"
"-ftree-slp-vectorize","flag_tree_slp_vectorize","x_flag_tree_slp_vectorize"
"-ftree-slsr","flag_tree_slsr","x_flag_tree_slsr"
